Time(s),Absorbance (AU)
0,0.00006103515625
1,-0.00006103515625
2,-0.0001373291015625
3,-0.0001678466796875
4,-0.0002288818359375
5,-0.00030517578125
6,-0.000335693359375
7,-0.0002899169921875
8,-0.0003814697265625
9,-0.0003509521484375
10,-0.0003814697265625
11,-0.0003662109375
12,-0.0003509521484375
13,-0.000335693359375
14,-0.000396728515625
15,-0.0003509521484375
16,-0.0004425048828125
17,-0.00030517578125
18,-0.00030517578125
19,-0.0004119873046875
20,-0.0004119873046875
21,-0.0003814697265625
22,-0.0005035400390625
23,-0.0004425048828125
24,-0.00048828125
25,-0.00048828125
26,-0.0005645751953125
27,-0.000579833984375
28,-0.00054931640625
29,-0.00048828125
30,-0.0005340576171875
31,-0.0005340576171875
32,-0.0005645751953125
33,-0.0006103515625
34,-0.000579833984375
35,-0.0006256103515625
36,-0.0007476806640625
37,-0.0006866455078125
38,-0.000701904296875
39,-0.0006561279296875
40,-0.0006866455078125
41,-0.0006103515625
42,-0.000762939453125
43,-0.0007781982421875
44,-0.0006866455078125
45,-0.0005645751953125
46,-0.000762939453125
47,-0.000701904296875
48,-0.0006866455078125
49,-0.000732421875
50,-0.0007171630859375
51,-0.0007171630859375
52,-0.0007781982421875
53,-0.00079345703125
54,-0.0007781982421875
55,-0.000762939453125
56,-0.000885009765625
57,-0.0008392333984375
58,-0.00079345703125
59,-0.000762939453125
60,-0.000823974609375
61,-0.0008544921875
62,-0.0008392333984375
63,-0.0008392333984375
64,-0.0008544921875
